Cod;titulo;autor;editora;valor;publicacao;edicao;idioma
1;Principles of engineering geology ;1;13;297.92;30/01/2003;3;portugues
2;Manual técnico;50;13;22.44;31/10/2014;5;portugues
3;A floresta e a conservaçào do solo, sua importância cultural e econômica ;2;13;172.45;15/10/2007;5;portugues
4;Administraçào da produçào ;63;13;242.41;24/08/2003;4;portugues
5;Notas avulsas;46;13;149.79;29/10/2007;1;portugues
6;O ABC da empresa de serviços;34;13;85.0;07/05/2010;4;portugues
7;Enxertia do cacaueiro ;31;13;413.46;21/07/2004;2;portugues
8;Artesào de saberes;47;13;512.22;23/08/2017;2;portugues
9;Fundamentos de eletrônica ;46;13;515.04;05/09/2016;3;portugues
10;O verào feliz da senhora Forbes ;48;13;229.72;27/09/2013;1;portugues
11;Instrumentaçào industrial ;23;13;224.95;13/10/2013;1;portugues
12;Simpísio sobre Terraceamento Agâicola ;29;13;423.83;16/04/2001;1;portugues
13;Princâpios de fisiologia animal ;8;13;515.64;05/06/2006;2;portugues
14;Vegetaçào arborea e arbustea nos altiplanos das chapadas do Piaui Central;38;13;328.01;19/06/2006;2;portugues
15;Estudios de estilâstica ;66;13;157.92;20/03/2002;3;portugues
16;Métodos e técnicas de pesquisa em comunicaçào ;53;13;90.09;13/03/2005;1;portugues
17;Introduction to trawling ;17;13;465.08;31/07/2003;2;portugues
18;Favela;20;13;156.62;05/02/2005;4;portugues
19;Machinapolis e a caosmologia do ser ;31;13;479.9;20/09/2011;1;portugues
20;Armance;31;13;372.67;29/11/2011;4;portugues
21;Desenho para arquitetos ;22;13;204.47;03/09/2016;2;portugues
22;Como produzir licor e xarope;47;13;504.14;04/08/2000;5;portugues
23;Como produzir doces em barra ;44;13;137.21;18/05/2008;5;portugues
24;The Dance of Death ;14;13;0.16;15/02/2010;2;portugues
25;Odontogeriatria;9;13;357.35;24/02/2017;2;portugues
26;Biblioteca escolar ;49;13;74.72;05/11/2004;2;portugues
27;Excursões para a terceira idade;6;13;315.66;13/06/2003;2;portugues
28;Limitaciones y usos del derecho de construir;55;13;496.59;27/08/2007;1;portugues
29;Berlim ;47;13;479.58;07/03/2005;5;portugues
30;Engenharia econômica e finanças ;73;13;229.48;25/01/2014;5;portugues
31;Les assertions bergsoniennes ;69;13;423.42;04/02/2013;1;portugues
32;Guia autodidactica par la alimentacion de ganado y aves de corral ;34;13;8.86;08/09/2004;4;portugues
33;Dicionário inglês português, português inglês ;13;13;402.25;19/07/2011;4;portugues
34;Duailibi das citações ;64;13;236.15;15/03/2005;2;portugues
35;Resistência dos materiais ;74;13;151.56;13/12/2009;3;portugues
36;Pregnancy childbirth-referenced test for classroom instruction;70;13;161.21;10/03/2005;4;portugues
37;Contabilidade pública na gestào municipal  ;14;13;460.07;15/10/2001;5;portugues
38;Autos-de-fé como espetáculos de massa ;36;13;463.27;31/05/2018;3;portugues
39;Recuperaçào de físforo por cristalizaçào de estruvita;11;13;189.74;09/01/2011;5;portugues
40;Recomendações técnicas para agricultura de vazantes ;45;13;50.07;24/11/2005;1;portugues
41;Firmin ;43;13;248.84;23/10/2005;5;portugues
42;Trajetos no labirinto;69;13;331.75;13/12/2010;1;portugues
43;Enciclopédia Disney. -;44;13;212.65;08/02/2013;2;portugues
44;Tratado de pediatria ;39;13;396.7;07/03/2014;5;portugues
45;O texto estranho ;72;13;511.84;24/12/2017;2;portugues
46;Citaçào e modernidade em Alvares de Azevedo;18;13;185.16;18/06/2017;2;portugues
47;Tribunal Penal Internacional:;21;13;252.92;21/05/2007;3;portugues
48;Antenas de microfita com patch supercondutor a 212 K;74;13;132.49;17/11/2012;5;portugues
49;Marx e a liberdade ;8;13;45.62;31/05/2016;2;portugues
50;A vida de Florinda Bolkan;39;13;243.39;18/02/2004;3;portugues
51;A arte da guerra ;3;13;379.27;02/02/2008;4;portugues
52;De l'acte ;39;13;348.59;07/10/2003;5;portugues
53;Game physics ;31;13;94.8;03/01/2006;5;portugues
54;Intervalo entre partos em bufálas no tropico úmido brasileiro ;12;13;127.95;23/01/2004;1;portugues
55;Discursos ;34;13;397.65;03/08/2009;1;portugues
56;A teoria da probabilidade ;19;13;432.25;25/02/2011;3;portugues
57;Emulsões de íleo de copaâba;33;13;316.4;03/02/2005;4;portugues
58;Reflexões de um economista ;60;13;332.04;05/01/2004;5;portugues
59;Doenças de peixes;45;13;30.87;07/10/2009;2;portugues
60;Consultoria e diagnístico empresarial;48;13;302.03;05/06/2000;1;portugues
61;A nova obscuridade;47;13;411.06;09/02/2017;1;portugues
62;Curso de cunicultura.-;12;13;272.59;08/12/2015;1;portugues
63;Duas décadas de atuaçào governamental no controle dos problemas fitossanitários da lavoura canavieira de Pernambuco;39;13;0.04;16/05/2010;2;portugues
64;A evoluçào do processo de tomada de decisào na Uniào Europeia e sua repercussào para o Brasil;63;13;249.97;14/11/2001;1;portugues
65;Método de pesquisa;34;13;101.44;14/04/2007;3;portugues
66;La legende des siécles ;36;13;13.44;30/11/2005;2;portugues
67;Direito do petríleo  ;46;13;26.01;15/10/2010;5;portugues
68;O ensino da biblioteconomia no contexto brasileiro: século XX ;45;13;47.84;16/07/2006;5;portugues
69;A revoluçào do amor;67;13;290.22;14/08/2016;5;portugues
70;Ninguém gosta de mim? ;16;13;175.25;08/02/2018;1;portugues
71;àtomo e natureza;61;13;273.76;23/05/2015;2;portugues
72;Imaginário radical e educaçào fâsica ;9;13;297.51;03/12/2008;5;portugues
73;Ensinar histíria no século XXI;68;13;464.09;17/03/2005;5;portugues
74;Artes marciais mistas ;30;13;144.72;06/05/2015;1;portugues
75;Impactos sociais da automaçào;67;13;111.61;05/08/2011;2;portugues
76;Dignidade humana e moralidade democrática ;15;13;91.56;27/04/2013;5;portugues
77;Por que os gêmeos sào tào iguais? ;58;13;46.75;23/07/2016;2;portugues
78;Ensayos filosofico-juridicos;24;13;313.92;07/11/2017;3;portugues
79;Aprendendo a viver;8;13;88.54;16/09/2008;1;portugues
80;Epidemiologia das helmintoses de bovinos de corte no planalto catarinense ;15;13;271.93;28/07/2018;3;portugues
81;Rainforest cities;36;13;465.83;19/02/2018;3;portugues
82;Atlas histírico do Rio Grande do Norte ;29;13;218.24;23/10/2000;3;portugues
83;Pensée implicite et perception visuelle;45;13;276.53;30/06/2002;4;portugues
84;Fragmentos de um discurso amoroso ;72;13;359.69;04/01/2008;4;portugues
85;Diálogo (bio)polâtico;14;13;287.57;16/05/2014;3;portugues
86;Umberto Eco and the open text;67;13;476.3;10/10/2001;4;portugues
87;Bombas;2;13;465.53;01/03/2011;2;portugues
88;Classical mathematical logic;35;13;168.66;14/08/2014;1;portugues
89;Problemas de genética ;4;13;419.97;27/09/2001;1;portugues
90;Desenvolvimento de um protítipo para alimentaçào de pís para aspersào térmica em tocha de plasma;52;13;119.74;03/07/2017;4;portugues
91;Ericksonian approaches to hypnosis and psychotherapy ;9;13;307.69;24/04/2007;2;portugues
92;Organizaçào e projeto de computadores;37;13;343.5;07/12/2002;2;portugues
93;O verào das rosas   ;39;13;514.7;20/06/2011;5;portugues
94;Minha cidade, Natal, e eu ;52;13;285.79;02/02/2006;4;portugues
95;Marco de referência de educaçào alimentar e nutricional para as polâticas públicas. -;40;13;284.1;30/05/2016;1;portugues
96;Data mining with neural networks;47;13;80.31;12/04/2002;5;portugues
97;A psicologia dos psicílogos ;66;13;381.36;02/09/2018;5;portugues
98;In soft garments;16;13;259.32;19/04/2002;5;portugues
99;Bom dia América de 500 anos ;52;13;448.63;20/01/2014;4;portugues
100;Minidicionário prático;46;13;11.75;02/06/2013;2;portugues
101;Nightfall ;72;13;387.98;31/01/2003;5;portugues
102;Visào perpétua ;5;13;300.27;14/06/2005;4;portugues
